School Campus,Intervention Type,Incident Location,Greater Than 21,Scanning Type,Scanning Incident,School Related,School Hours,Enforcment By,Restraints,Force,Type Of Force,Top Charge,SummonsCharge,Classification
AP RANDOLPH CAMPUS HS(MN) ,Arrested,On-Site,No,Non-Scanning,N,Y,Y,PATROL,Metal,N,None,GANG ASLT,,F
AP RANDOLPH CAMPUS HS(MN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,SSA,No Restraints,N,None,,,M
AP RANDOLPH CAMPUS HS(MN) ,Mitigated,On-Site,No,Unannounced,Y,Y,Y,DOE,No Restraints,N,None,,,
AP RANDOLPH CAMPUS HS(MN) ,Juvenile Report,On-Site,No,Unannounced,Y,Y,Y,SSA,No Restraints,N,None,,,V
AP RANDOLPH CAMPUS HS(MN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
AP RANDOLPH CAMPUS HS(MN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
AP RANDOLPH CAMPUS HS(MN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,SSA,No Restraints,N,None,,,V
AP RANDOLPH CAMPUS HS(MN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
AP RANDOLPH CAMPUS HS(MN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
AP RANDOLPH CAMPUS HS(MN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
AP RANDOLPH CAMPUS HS(MN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
AP RANDOLPH CAMPUS HS(MN) ,Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
AP RANDOLPH CAMPUS HS(MN) ,Arrested,On-Site,No,Non-Scanning,N,Y,Y,SSA,No Restraints,N,None,OBS GOVT ADMIN,,M
AP RANDOLPH CAMPUS HS(MN) ,Arrested,On-Site,No,Non-Scanning,N,Y,Y,PATROL,Metal,N,None,ENDAN WEL CHILD,,M
AP RANDOLPH CAMPUS HS(MN) ,Arrested,On-Site,No,Non-Scanning,N,Y,Y,DB,Metal,N,None,ROBBERY,,F
AP RANDOLPH CAMPUS HS(MN) ,Juvenile Report,On-Site,No,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,,V
AP RANDOLPH CAMPUS HS(MN) ,Child in Crisis,On-Site,No,Unannounced,N,Y,Y,N/A,No Restraints,N,None,,,
Archimedes Academy for Math Science & Technology Applications(XE),Arrested,On-Site,No,Non-Scanning,N,Y,Y,UTF,No Restraints,N,None,PRO SEX PFM CHD,,F
Archimedes Academy for Math Science & Technology Applications(XE),Arrested,Off-Site,No,Non-Scanning,N,N,N,PATROL,Metal,N,None,RAPE,,F
ART & DESIGN HS @PS 59M(MS),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
ART & DESIGN HS @PS 59M(MS),Mitigated,On-Site,No,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
ART & DESIGN HS @PS 59M(MS),Child in Crisis,On-Site,No,Non-Scanning,N,N,Y,N/A,No Restraints,N,None,,,
ART & DESIGN HS @PS 59M(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,N/A,No Restraints,N,None,,,
ART & DESIGN HS @PS 59M(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,N/A,No Restraints,N,None,,,
ART & DESIGN HS @PS 59M(MS),Child in Crisis,On-Site,No,Non-Scanning,N,Y,Y,N/A,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,SSA,No Restraints,N,None,,,
Aspirations Diploma Plus HS(BN),Mitigated,On-Site,No,Full-Time,N,Y,Y,SSA,No Restraints,N,None,,,
