Index,Name3,Team,Salary
73,Keldon Johnson,San Antonio Spurs,20000000
123,Kelly Olynyk,Toronto Raptors,12195122
371,Kelly Oubre Jr.,Philadelphia 76ers,2019706
452,Kendall Brown,Indiana Pacers,1100000
469,Kenneth Lofton Jr.,Utah Jazz,500000
213,Kenrich Williams,Oklahoma City Thunder,6175000
108,Kentavious Caldwell-Pope,Denver Nuggets,14704938
460,Keon Ellis,Sacramento Kings,683430
302,Keon Johnson,Brooklyn Nets,2808720
408,Kessler Edwards,Sacramento Kings,1927896
2,Kevin Durant,Phoenix Suns,47649433
103,Kevin Huerter,Sacramento Kings,15669643
414,Kevin Knox II,Detroit Pistons,1845593
270,Kevin Love,Miami Heat,3835738
100,Kevin Porter Jr.,LA Clippers,15860000
191,Kevon Looney,Golden State Warriors,7500000
267,Keyonte George,Utah Jazz,3889800
196,Khem Birch,San Antonio Spurs,6985000
45,Khris Middleton,Milwaukee Bucks,29320988
193,Killian Hayes,Detroit Pistons,7413955
220,Kira Lewis Jr.,Utah Jazz,5722116
404,KJ Martin,Philadelphia 76ers,1930681
405,KJ Martin,LA Clippers,1930681
12,Klay Thompson,Golden State Warriors,43219440
327,Kobe Brown,LA Clippers,2413320
259,Kobe Bufkin,Atlanta Hawks,4094280
351,Kobi Simmons,Toronto Raptors,2066585
312,Kris Dunn,Utah Jazz,2586665
299,Kris Murray,Portland Trail Blazers,2847480
26,Kristaps Porzingis,Boston Celtics,36016200
169,Kyle Anderson,Minnesota Timberwolves,9219512
54,Kyle Kuzma,Washington Wizards,25568182
304,Kyle Lowry,Philadelphia 76ers,2795839
22,Kyrie Irving,Dallas Mavericks,37037037
403,Lamar Stevens,Memphis Grizzlies,1930681
144,LaMelo Ball,Charlotte Hornets,10900635
152,Landry Shamet,Washington Wizards,10250000
151,Larry Nance Jr.,New Orleans Pelicans,10375000
93,Lauri Markkanen,Utah Jazz,17259999
3,LeBron James,Los Angeles Lakers,47607350
428,Leonard Miller,Minnesota Timberwolves,1800000
467,Lester Quinones,Golden State Warriors,548815
458,Lindy Waters III,Oklahoma City Thunder,766095
374,Lonnie Walker IV,Brooklyn Nets,2019706
71,Lonzo Ball,Chicago Bulls,20465117
107,Luguentz Dort,Oklahoma City Thunder,15277778
16,Luka Doncic,Dallas Mavericks,40064220
352,Luka Samanic,Utah Jazz,2066585
105,Luke Kennard,Memphis Grizzlies,15418363
329,Luke Kornet,Boston Celtics,2413304
268,Malachi Flynn,Detroit Pistons,3873025
290,Malaki Branham,San Antonio Spurs,3071880
63,Malcolm Brogdon,Portland Trail Blazers,22500000
359,Malik Beasley,Milwaukee Bucks,2019760
154,Malik Monk,Sacramento Kings,9945830
94,Marcus Morris Sr.,Cleveland Cavaliers,17116279
309,Marcus Sasser,Detroit Pistons,2623680
80,Marcus Smart,Memphis Grizzlies,18833712
310,MarJon Beauchamp,Milwaukee Bucks,2609400
265,Mark Williams,Charlotte Hornets,3908160
97,Markelle Fultz,Orlando Magic,17000000
389,Markieff Morris,Dallas Mavericks,2019706
421,Marko Simonovic,Chicago Bulls,1836096
119,Marvin Bagley III,Washington Wizards,12500000
238,Mason Plumlee,LA Clippers,5000000
147,Matisse Thybulle,Portland Trail Blazers,10500000
436,Max Christie,Los Angeles Lakers,1719864
109,Max Strus,Cleveland Cavaliers,14487684
141,Maxi Kleber,Dallas Mavericks,11000000
447,Maxwell Lewis,Los Angeles Lakers,1119563
35,Michael Porter Jr.,Denver Nuggets,33386850
68,Mikal Bridges,Brooklyn Nets,21700000
57,Mike Conley,Minnesota Timberwolves,24360000
279,Mike Muscala,Oklahoma City Thunder,3500000
185,Miles Bridges,Charlotte Hornets,7921301
419,Miles McBride,New York Knicks,1836096
102,Mitchell Robinson,New York Knicks,15681818
370,Mo Bamba,Philadelphia 76ers,2019706
158,Monte Morris,Minnesota Timberwolves,9800926
358,Montrezl Harrell,Philadelphia 76ers,2019760
182,Moritz Wagner,Orlando Magic,8000000
368,Moses Brown,Portland Trail Blazers,2019706
264,Moses Moody,Golden State Warriors,3918480
451,Mouhamed Gueye,Atlanta Hawks,1119563
69,Myles Turner,Indiana Pacers,20975000
