County FIPS,County Name,State Name,5 digit 2024 jobs,6 digit 2024 jobs,Total,Share
51053,Dinwiddie,Virginia,0,69,70,0.7%
42031,Clarion,Pennsylvania,9,60,70,0.6%
13243,Randolph,Georgia,0,69,69,3.9%
48031,Blanco,Texas,0,69,69,1.7%
27153,Todd,Minnesota,0,69,69,1.0%
47147,Robertson,Tennessee,0,68,68,0.3%
31127,Nemaha,Nebraska,0,68,68,2.3%
40131,Rogers,Oklahoma,49,18,68,0.2%
48337,Montague,Texas,0,67,67,1.4%
19099,Jasper,Iowa,0,67,67,0.6%
19079,Hamilton,Iowa,0,67,67,1.2%
22059,La Salle,Louisiana,0,67,67,1.4%
18139,Rush,Indiana,0,67,67,1.4%
41053,Polk,Oregon,2,65,67,0.3%
37169,Stokes,North Carolina,0,66,66,0.9%
38093,Stutsman,North Dakota,0,66,66,0.6%
38071,Ramsey,North Dakota,0,66,66,1.2%
51009,Amherst,Virginia,66,0,66,0.8%
31025,Cass,Nebraska,0,66,66,1.1%
54041,Lewis,West Virginia,0,66,66,1.1%
37027,Caldwell,North Carolina,0,65,65,0.3%
26087,Lapeer,Michigan,30,35,65,0.3%
12099,Palm Beach,Florida,10,54,65,0.0%
54097,Upshur,West Virginia,0,65,65,0.8%
16057,Latah,Idaho,0,65,65,0.4%
18093,Lawrence,Indiana,0,64,64,0.5%
51550,Chesapeake City,Virginia,34,30,64,0.1%
12031,Duval,Florida,31,33,64,0.0%
31119,Madison,Nebraska,0,64,64,0.3%
44009,Washington,Rhode Island,0,64,64,0.1%
6067,Sacramento,California,0,63,63,0.0%
6013,Contra Costa,California,0,63,63,0.0%
39111,Monroe,Ohio,0,63,63,2.2%
28057,Itawamba,Mississippi,0,63,63,1.0%
25023,Plymouth,Massachusetts,0,63,63,0.0%
19195,Worth,Iowa,2,60,63,2.8%
22089,St. Charles,Louisiana,0,63,63,0.2%
27121,Pope,Minnesota,0,62,62,1.4%
12113,Santa Rosa,Florida,0,62,62,0.1%
48499,Wood,Texas,0,62,62,0.6%
32031,Washoe,Nevada,13,49,61,0.0%
48097,Cooke,Texas,1,60,61,0.4%
48451,Tom Green,Texas,0,61,61,0.1%
53041,Lewis,Washington,41,20,61,0.2%
19031,Cedar,Iowa,0,61,61,1.2%
22119,Webster,Louisiana,0,61,61,0.5%
48091,Comal,Texas,0,60,60,0.1%
21119,Knott,Kentucky,60,0,60,2.8%
38097,Traill,North Dakota,0,60,60,1.7%
20179,Sheridan,Kansas,0,60,60,6.0%
17117,Macoupin,Illinois,20,40,60,0.6%
21125,Laurel,Kentucky,54,5,60,0.2%
22001,Acadia,Louisiana,0,59,59,0.4%
55115,Shawano,Wisconsin,0,59,59,0.5%
20009,Barton,Kansas,0,59,59,0.5%
41017,Deschutes,Oregon,0,59,59,0.1%
26117,Montcalm,Michigan,0,59,59,0.4%
40139,Texas,Oklahoma,0,59,59,0.6%
26029,Charlevoix,Michigan,50,9,59,0.5%
45071,Newberry,South Carolina,0,58,58,0.4%
34023,Middlesex,New Jersey,1,58,58,0.0%
27117,Pipestone,Minnesota,0,58,58,1.4%
40087,McClain,Oklahoma,30,28,58,0.5%
21019,Boyd,Kentucky,46,12,58,0.2%
54053,Mason,West Virginia,0,58,58,1.0%
48217,Hill,Texas,0,58,58,0.5%
42133,York,Pennsylvania,0,58,58,0.0%
18175,Washington,Indiana,0,58,58,1.0%
48147,Fannin,Texas,0,58,58,0.7%
45057,Lancaster,South Carolina,28,30,58,0.2%
12127,Volusia,Florida,0,58,58,0.0%
48481,Wharton,Texas,0,58,58,0.3%
26149,St. Joseph,Michigan,0,57,57,0.3%
27035,Crow Wing,Minnesota,0,57,57,0.2%
20053,Ellsworth,Kansas,0,57,57,2.6%
36055,Monroe,New York,0,57,57,0.0%
48279,Lamb,Texas,0,57,57,1.4%
17051,Fayette,Illinois,0,57,57,1.2%
34027,Morris,New Jersey,0,57,57,0.0%
1095,Marshall,Alabama,0,57,57,0.1%
51820,Waynesboro City,Virginia,0,57,57,0.6%
26121,Muskegon,Michigan,0,56,56,0.1%
22041,Franklin,Louisiana,0,56,56,1.2%
54087,Roane,West Virginia,0,56,56,1.9%
25005,Bristol,Massachusetts,0,56,56,0.0%
13083,Dade,Georgia,2,54,56,1.3%
48253,Jones,Texas,0,55,55,1.9%
48491,Williamson,Texas,38,18,55,0.0%
48117,Deaf Smith,Texas,0,55,55,0.7%
21235,Whitley,Kentucky,16,39,55,0.4%
31051,Dixon,Nebraska,0,55,55,2.9%
17075,Iroquois,Illinois,0,55,55,0.8%
18049,Fulton,Indiana,0,55,55,0.9%
13055,Chattooga,Georgia,0,54,54,1.1%
51800,Suffolk City,Virginia,0,54,54,0.2%
16015,Boise,Idaho,0,54,54,3.1%
22123,West Carroll,Louisiana,0,54,54,2.7%
27015,Brown,Minnesota,0,54,54,0.4%
54009,Brooke,West Virginia,3,51,54,0.8%
49053,Washington,Utah,0,54,54,0.1%
19189,Winnebago,Iowa,0,54,54,1.4%
39149,Shelby,Ohio,0,54,54,0.2%
17033,Crawford,Illinois,0,54,54,0.7%
40115,Ottawa,Oklahoma,0,53,53,0.4%
51153,Prince William,Virginia,0,53,53,0.0%
16053,Jerome,Idaho,0,53,53,0.4%
48055,Caldwell,Texas,0,53,53,0.5%
