EnrStatus,Department,Year,YOG,Grade,CrsNo,Description,SecNo,T1AttTrmGr,T1Grd,T2AttTrmGr,T2Grd,T3AttTrmGr,T3Grd,T4AttTrmGr,T4Grd,Exam,FG,Credit,Credit.1,PotentialCredit,Term,TeacherNum
W07,,2017,2023,9,5161,Math 1 ACP,3,,B,,A-,,B-,,B,A,B,5,5,,FY,1
W07,MAT,2018,2023,10,5171,Math 2 ACP,1,,B-,,C-,,B-,,D+,B,C,5,5,,FY,31
W07,MAT,2019,2023,11,5181,Math 3 ACP,2,,C+,,D-,,ND,,NF,F,D+,5,5,,FY,21
W07,,2011,2015,9,5161,Math 1 I,,,A,,A,,A,,A-,A,A,5,5,,,1
W07,,2012,2015,10,5171,Math 2 ACP,,,A,,A,,A,,A-,B+,A,5,5,,,1
W07,,2013,2015,11,5181,Math 3 ACP,,,A,,B,,B,,B,B,B,5,5,,,1
W07,,2014,2015,12,5191,Pre-Calculus ACP,,,A,,A-,,B+,,B-,,B+,5,5,,,1
W07,,2010,2013,9,5111,Mathematics 1 Acc,,,B-,,C,,C-,,B-,C,C,5,5,,,1
W07,,2011,2013,10,5121,Mathematics 2 Acc,,,C+,,N,,C-,,C+,B-,C,5,5,,,1
W07,,2012,2013,11,5131,Math 3 ACP Acc,,,B,,B,,C+,,C,C-,C+,5,5,,,1
W01,,2016,2019,9,5161,Math 1 ACP,6,,B+,,C+,,B-,,B-,C+,B-,5,5,,FY,1
W01,,2017,2019,10,5171,Math 2 ACP,4,,,,C+,,A-,,B,C-,B,5,5,,FY,40
W01,,2017,2019,10,5171,Math 2 ACP,5,,B-,,,,,,,,,5,0,,FY,26
W07,MAT,2019,2022,9,5011,Math 1 H,5,,A,,A,,A,,A,A,A,5,5,,FY,3
W07,MAT,2020,2022,10,5021,Math 2 H,9,,A,,A,,P,,,,A,5,5,,FY,17
W07,MAT,2021,2022,11,5031,Math 3 (Pre-Calculus) H,8,,A,,A,,A,,A,,A,5,5,,FY,53
W07,MAT,2022,2022,12,5041,AP Calculus 4 BC,3,,A,,A,,A,,A,,A,5,5,,FY,11
W07,,2016,2019,9,5111,Math 1 ACP Acc,1,,B+,,A,,A,,B,A,A-,5,5,,FY,10
W07,,2017,2019,10,5121,Math 2 ACP Acc,1,,A-,,A-,,A,,A,A,A,5,5,,FY,40
W07,MAT,2018,2019,11,5131,Math 3 ACP Acc,4,,A,,A-,,B+,,B,B+,A-,5,5,,FY,26
W07,MAT,2019,2019,12,5081,AP Calculus 4 AB,1,,B-,,B-,,C+,,B-,,B-,5,5,,FY,13
Active,MAT,2021,2024,9,5161,Math 1 ACP,3,,A,,A,,A,,A,,A,5,12,,FY,40
Active,MAT,2022,2024,10,5171,Math 2 ACP,7,,A,,A,,A,,A,,A,5,12,,FY,22
Active,MAT,2023,2024,11,5181,Math 3 ACP,5,Y,A,Y,A,Y,A,Y,A,A,A,12,12,,FY,75
W07,MAT,2019,2022,9,5111,Math 1 ACP Acc,2,,A,,A,,A,,A,A,A,5,5,,FY,48
W07,MAT,2020,2022,10,5121,Math 2 ACP Acc,3,,A,,A,,P,,,,A,5,5,,FY,15
W07,MAT,2021,2022,11,5031,Math 3 (Pre-Calculus) H,7,,A,,A,,A,0,A,,A,5,5,,FY,7
W07,MAT,2022,2022,12,5081,AP Calculus 4 AB,3,,A,,A-,,A-,,A,,A,5,5,,FY,19
Active,MAT,2022,2025,9,5011,Math 1 H,3,,,,,,A,,A,,A,5,12,,FY,53
Active,MAT,2022,2025,9,5012,Math 1 Accelerated/Honors,3,,A,,A,,,,,,,5,,,FY,53
