,Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
28,194912180MNL,BOS,game,,Howie Shannon,shannho01,,3.0,5.0,0.6,,,,1.0,1.0,1.0,,,,3.0,,,,6.0,7.0,,
29,194912180MNL,BOS,game,,Gene Englund,engluge01,,0.0,4.0,0.0,,,,5.0,5.0,1.0,,,,0.0,,,,6.0,5.0,,
30,194912180MNL,BOS,game,,Jim Seminoff,seminji01,,1.0,2.0,0.5,,,,2.0,3.0,0.667,,,,4.0,,,,2.0,4.0,,
31,194912180MNL,BOS,game,,Bob Doll,dollbo01,,0.0,3.0,0.0,,,,1.0,1.0,1.0,,,,0.0,,,,4.0,1.0,,
32,194912180MNL,BOS,game,,Tony Lavelli,lavelto01,,0.0,0.0,,,,,1.0,1.0,1.0,,,,0.0,,,,2.0,1.0,,
33,194912180MNL,BOS,game,,Joe Mullaney,mullajo01,,0.0,0.0,,,,,0.0,0.0,,,,,1.0,,,,1.0,0.0,,
34,194912180MNL,MNL,game,,George Mikan,mikange01,,8.0,17.0,0.471,,,,8.0,13.0,0.615,,,,6.0,,,,5.0,24.0,,
35,194912180MNL,MNL,game,,Vern Mikkelsen,mikkeve01,,6.0,9.0,0.667,,,,5.0,8.0,0.625,,,,2.0,,,,2.0,17.0,,
36,194912180MNL,MNL,game,,Arnie Ferrin,ferriar01,,4.0,11.0,0.364,,,,3.0,3.0,1.0,,,,1.0,,,,2.0,11.0,,
37,194912180MNL,MNL,game,,Jim Pollard,pollaji01,,2.0,16.0,0.125,,,,6.0,8.0,0.75,,,,4.0,,,,4.0,10.0,,
38,194912180MNL,MNL,game,,Herm Schaefer,schaehe01,,3.0,5.0,0.6,,,,0.0,0.0,,,,,4.0,,,,3.0,6.0,,
39,194912180MNL,MNL,game,,Don Carlson,carlsdo01,,2.0,7.0,0.286,,,,1.0,3.0,0.333,,,,2.0,,,,6.0,5.0,,
40,194912180MNL,MNL,game,,Bob Harrison,harribo02,,1.0,2.0,0.5,,,,0.0,0.0,,,,,0.0,,,,0.0,2.0,,
41,194912180MNL,MNL,game,,Billy Hassett,hassebi01,,0.0,3.0,0.0,,,,2.0,2.0,1.0,,,,2.0,,,,4.0,2.0,,
42,194912180MNL,MNL,game,,Tony Jaros,jarosto01,,0.0,3.0,0.0,,,,0.0,0.0,,,,,2.0,,,,0.0,0.0,,
43,194912180MNL,MNL,game,,Slater Martin,martisl01,,0.0,2.0,0.0,,,,0.0,0.0,,,,,0.0,,,,3.0,0.0,,
44,194912220BOS,MNL,game,,George Mikan,mikange01,,7.0,,,,,,7.0,10.0,0.7,,,,,,,,6.0,21.0,,
45,194912220BOS,MNL,game,,Arnie Ferrin,ferriar01,,6.0,,,,,,0.0,0.0,,,,,,,,,2.0,12.0,,
46,194912220BOS,MNL,game,,Jim Pollard,pollaji01,,5.0,,,,,,1.0,1.0,1.0,,,,,,,,2.0,11.0,,
47,194912220BOS,MNL,game,,Vern Mikkelsen,mikkeve01,,3.0,,,,,,3.0,6.0,0.5,,,,,,,,6.0,9.0,,
48,194912220BOS,MNL,game,,Herm Schaefer,schaehe01,,2.0,,,,,,3.0,3.0,1.0,,,,,,,,1.0,7.0,,
49,194912220BOS,MNL,game,,Billy Hassett,hassebi01,,2.0,,,,,,0.0,1.0,0.0,,,,,,,,2.0,4.0,,
50,194912220BOS,MNL,game,,Slater Martin,martisl01,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,2.0,3.0,,
51,194912220BOS,MNL,game,,Bob Harrison,harribo02,,1.0,,,,,,0.0,0.0,,,,,,,,,3.0,2.0,,
